ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Connectbox (Arris TG2492LG),Ja,netgear,Unknown,200 Mbit/s down - 20 Mbit/s up,8,94.4,20.1,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-7400,Gamen,Overbelasting voor het netwerk
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,13,28,19,"Wifi via 2,4 GHz frequentieband",802.11n Wireless LAN Card,Nee,Intel Pentium N3530,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Fritzbox 4040,FritzOS 06.83,200 Mbit/s down - 20 Mbit/s up,13,11,19.2,"Wifi via 2,4 GHz frequentieband",TP-Link Gigabit PCI Express Adapter,Ja,Intel Core i5-3550k,Gamen,Veranderen van netwerkmedium
Technicolor TC7210,Ja,Netgear Nighthawk R7500 + R7000 (slave),Meest recente software te allen tijde,200 Mbit/s down - 20 Mbit/s up,13,206,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-3770,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Docsis ch7465ce,Unknown,200 Mbit/s down - 20 Mbit/s up,12,209,20,Netwerkkabel,Killer E2400,Nee,Intel Core i5-7400,Gamen,Geen verbetering
Technicolor TC7200,Ja,ASUS RT-AC68U,Merlin fork 374.43_32E4j9527,200 Mbit/s down - 20 Mbit/s up,14,205.8,20.9,"Wifi via 5,0 GHz frequentieband",Broadcom 802.11,Nee,Intel Core i7-3770k,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3928,Ja,Fritz!box 7390,FRITZ!OS 06.83,400 Mbit/s down - 40 Mbit/s up,12,187,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-3610qm,Downloaden,Veranderen van modem
Technicolor TC7210,Ja,netgear nighthawk,Unknown,400 Mbit/s down - 40 Mbit/s up,12,413,39,Netwerkkabel,Intel 82577LM,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,120,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD A10-5800K,Downloaden,Veranderen van hardware
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,184.1,20.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2670qm,(video)streamen,Overbelasting voor het netwerk
Ubee EVW321B,Ja,Tp-link asher c7,Unknown,50 Mbit/s down - 5 Mbit/s up,15,38,4,Netwerkkabel,Realtek 8111C,Ja,Intel Core i3,(video)streamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,208,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core 2 Duo,Downloaden,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,50 Mbit/s down - 5 Mbit/s up,12,25,2,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR956x,Nee,Intel Core i7-4500u,Gamen,Veranderen van netwerkmedium
Mediabox XL (7401),Ja,Netgear R7000,Unknown,200 Mbit/s down - 20 Mbit/s up,9,30,40,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i7-2600,Surfen (websites bezoeken),Veranderen van netwerkmedium
Mediabox XL (7400),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,98.8,20.6,"Wifi via 5,0 GHz frequentieband",TP-LINK Wireless USB Adapter,Nee,Intel Core 2 Duo,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,13,350,40.5,"Wifi via 5,0 GHz frequentieband",Killer AC1535,Nee,Intel Core i7,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,11,126.8,41.4,"Wifi via 2,4 GHz frequentieband",TP-LINK Wireless USB Adapter,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,9,200.8,41.3,"Wifi via 2,4 GHz frequentieband",TP-LINK Wireless USB Adapter,Nee,Intel Core i7-3770,(video)streamen,Veranderen van netwerkmedium
Mediabox XL (7400),Ja,Ziggo CH7465LG-ZG,Unknown,200 Mbit/s down - 20 Mbit/s up,18,40,24,"Wifi via 2,4 GHz frequentieband",Realtek 8723DE,Nee,Intel Core i3-6006u,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Netgear Nighthawk,Unknown,400 Mbit/s down - 40 Mbit/s up,14,52.7,23.7,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros QCA9377,Nee,AMD A8-7410,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,TP-Link,Unknown,200 Mbit/s down - 20 Mbit/s up,11,206.3,20.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD A10-7850K,(video)streamen,Geen verbetering
Ubee EVW3226,Ja,Apple AirPort extreme / time capsule,7.7.9 (77900.2),200 Mbit/s down - 20 Mbit/s up,14,188.1,20.1,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Thomson TWG870,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,76.7,20.6,Netwerkkabel,Intel 82579,Nee,Intel Core i5-3330,Downloaden,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,205,19,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD Phenom 9650,(video)streamen,Geen verbetering
Ubee EVW321B,Ja,Sitecom,Unknown,200 Mbit/s down - 20 Mbit/s up,13,41.6,18.4,"Wifi via 2,4 GHz frequentieband",Intel N7260,Nee,Intel Core i5-3230m,Downloaden,Veranderen van netwerkmedium
Mediabox XL (7401),Ja,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,203.1,20.6,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-6400,(video)streamen,Overbelasting voor het netwerk
Ubee EVW321B,Ja,Asus AC3200,3.0.0.4.382_50010,200 Mbit/s down - 20 Mbit/s up,16,214,24.5,"Wifi via 5,0 GHz frequentieband",Marvell Yukon,Nee,Intel Core i7,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Arris TG2492LG-ZG,Unknown,200 Mbit/s down - 20 Mbit/s up,12,45.5,20.7,"Wifi via 2,4 GHz frequentieband",Unknown,Nee,Intel Core i5-5200u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Technicolor TC7210,Ja,Apple AirPort Extreme,Apple,200 Mbit/s down - 20 Mbit/s up,9,204,20,Netwerkkabel,Apple Broadcom,Nee,Intel Core i7,(video)streamen,Geen verbetering
Mediabox XL (7401),Ja,Netgear,Unknown,250 Mbit/s down - 40 Mbit/s up,9,256,40,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-2320,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,192,20,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Connectbox Compaq ch7465lg,Unknown,200 Mbit/s down - 20 Mbit/s up,10,199,20,Netwerkkabel,Intel l217-V,Nee,Intel Core i7-4790k,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,204,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-920,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Archer C2600,1.1.8 Build 20170306 Rel. 44838,400 Mbit/s down - 40 Mbit/s up,19,399,35,Netwerkkabel,Intel Pro 1000,Ja,Intel Xeon E3-1220,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,186,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Pentium,(video)streamen,Veranderen van hardware
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,236,24,Netwerkkabel,Killer E2500,Nee,Intel Core i7-6500u,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,netgear r6400,laatste,200 Mbit/s down - 20 Mbit/s up,11,189,16,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,AMD Athlon II X2 B22,Surfen (websites bezoeken),Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Ja,TP Link,Unknown,200 Mbit/s down - 20 Mbit/s up,14,197,14,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-3550k,Gamen,Overbelasting voor het netwerk
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,7,204,20.3,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,Downloaden,Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,8,381.7,36.2,Netwerkkabel,Intel I219-V,Nee,Intel Core i7-7700k,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,10,403.2,41.5,Netwerkkabel,Qualcomm Atheros QCA9377,Nee,Intel Core i5-3230m,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,Unifi USG Security Gateway,4.4.18,200 Mbit/s down - 20 Mbit/s up,8,90,20,"Wifi via 5,0 GHz frequentieband",Linksys WUSB6400M,Nee,Intel Core i7-3770,Gamen,Veranderen van netwerkmedium
Hitron CGNV4,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,9,279,42,Netwerkkabel,Intel 82579V,Nee,Intel Core i5-2500k,(video)streamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Asus RT-N66U,Unknown,200 Mbit/s down - 20 Mbit/s up,16,67.6,9.4,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Cisco EPC3928,Ja,Synology rt1900ac,Synology Router Manager (SRM),200 Mbit/s down - 20 Mbit/s up,11,137,21,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC7260,Nee,Intel Core i5-4200u,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Sitecom WLR-3000 v2 001,Unknown,200 Mbit/s down - 20 Mbit/s up,15,217,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-2300,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,40,20,"Wifi via 5,0 GHz frequentieband",Realtek 8723BE,Nee,Intel Core i7-920,(video)streamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Lynksys,Standaard,400 Mbit/s down - 40 Mbit/s up,9,133,40,"Wifi via 5,0 GHz frequentieband",Unknown,Nee,Unknown,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3925,Ja,tplink,3.17.1 Build 20160613 Rel. 39593,200 Mbit/s down - 20 Mbit/s up,8,205,21,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros QCA9565,Nee,Intel Core i7-4510u,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,Netgear R7800,DD-WRT v3.0-r35681,400 Mbit/s down - 40 Mbit/s up,6,401,41,Netwerkkabel,Intel 82579V,Nee,Intel Core i7-3770k,Gamen,Geen verbetering
Technicolor TC7210,Ja,ASUS RT-AC68U,asuswrt-merlin 384.4,200 Mbit/s down - 20 Mbit/s up,10,200,20,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC7260,Nee,Intel Core i7-3610qm,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,203,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4790,(video)streamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,25,15.9,17.1,"Wifi via 2,4 GHz frequentieband",Broadcom 802.11,Nee,Intel Core i3,Downloaden,Veranderen van netwerkmedium
Cisco EPC3925,Ja,cisco epc 3925,e3925-ES-12-c1100r5593-140522c_upc,200 Mbit/s down - 20 Mbit/s up,11,76,14,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC3160,Nee,Intel Core i5-6300hq,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,45,137,20,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros QCA9377,Nee,AMD A6-7310,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,44.1,20.6,"Wifi via 5,0 GHz frequentieband",Realtek 8188EE,Nee,Intel Core i3-5005u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3928,Ja,Ziggo C7,V2,200 Mbit/s down - 20 Mbit/s up,11,95,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,Gamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Netgear GS105E,Unknown,400 Mbit/s down - 40 Mbit/s up,10,401,39,Netwerkkabel,Intel I1217-LM,Nee,Intel Core i5-4570,(video)streamen,Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,201,20,Netwerkkabel,Intel I219-V,Nee,Intel Core i5-6600k,Downloaden,Geen verbetering
Technicolor TC7210,Ja,Draytek Vigor2130N,Unknown,200 Mbit/s down - 20 Mbit/s up,8,245,24,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-3550,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,205.2,20.6,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i7-4770,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,11,398,40,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4460,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,178,20,"Wifi via 5,0 GHz frequentieband",Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Core i5-4200m,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,TP-Link Archer C3200,Unknown,400 Mbit/s down - 40 Mbit/s up,10,402,41,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-2500k,Gamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,9,202,20,Netwerkkabel,Apple BCM5701,Nee,Intel Core i5-8250u,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,200,21,Netwerkkabel,Intel 82577LM,Nee,Intel Core i5,(video)streamen,Geen verbetering
Ubee EVW321B,Ja,Netgear WNR3500L v2,Unknown,200 Mbit/s down - 20 Mbit/s up,10,200.4,19.4,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3,Downloaden,Geen verbetering
Ubee EVW321B,Ja,linksys,Unknown,200 Mbit/s down - 20 Mbit/s up,11,45.4,20.7,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9002WB-1NG,Nee,Intel Core i7-2670,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3925,Nee,Unknown,Unknown,250 Mbit/s down - 25 Mbit/s up,10,45,23.7,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros AR9285,Nee,Intel Core 2 Duo,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,151,48,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,24,17,"Wifi via 2,4 GHz frequentieband",Ralink RT3290,Nee,Intel Pentium,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Edimax RA21S,Unknown,200 Mbit/s down - 20 Mbit/s up,10,108,20,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Pentium G2020,Downloaden,Veranderen van netwerkmedium
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,10,243,37,Netwerkkabel,Qualcomm Atheros AR8161,Nee,AMD A10-6800K,(video)streamen,Veranderen van hardware
Connectbox (Compal CH7465LG),Ja,aldi 500 mbps plc 11n wall mount,Unknown,200 Mbit/s down - 20 Mbit/s up,11,205,20.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,(video)streamen,Geen verbetering
Cisco EPC3928,Ja,R6400 v2,Laatste,200 Mbit/s down - 20 Mbit/s up,15,100,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-3230m,Gamen,Veranderen van hardware
Ubee EVM3200,Ja,Asus RT-AC66U,3.0.0.4.380_8120,200 Mbit/s down - 20 Mbit/s up,14,203.4,20.6,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC7260,Nee,Intel Core i7-3630qm,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3928,Ja,Asus RT-AC87U,Merlin (latest),200 Mbit/s down - 20 Mbit/s up,13,201,20,Netwerkkabel,Unknown,Nee,Intel Core i5-7400,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Ja,TP-Link WR1043ND,Unknown,200 Mbit/s down - 20 Mbit/s up,12,202,20.6,Netwerkkabel,TP-Link Gigabit PCI Express Adapter,Ja,Intel Core i7-3770,Downloaden,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,167,20,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i5-4210u,Downloaden,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,16,39.7,20.6,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros QCA9565,Nee,Intel Core i3,(video)streamen,Veranderen van netwerkmedium
Linksys EA6900V1.1,Ja,linksig,Unknown,40 Mbit/s down - 4 Mbit/s up,11,40.9,4.2,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,Downloaden,Geen verbetering
Cisco EPC3928,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,19.3,20.12,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-7400,Surfen (websites bezoeken),Overbelasting voor het netwerk
Technicolor TC7200,Ja,Netgear R6300v2,Netgear genie,200 Mbit/s down - 20 Mbit/s up,10,255,25,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i5-8600k,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Ja,F-Secure Sense,Sense,200 Mbit/s down - 20 Mbit/s up,10,206,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i3-4160,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,15,40,20,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros AR9285,Nee,Intel Core i5,Downloaden,Veranderen van netwerkmedium
Ubee EVM3200,Ja,Netgear WNDR3700v2,V1.0.1.14,200 Mbit/s down - 20 Mbit/s up,12,198,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-2600k,Surfen (websites bezoeken),Geen verbetering
Technicolor TC7210,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,189,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4460,Downloaden,Geen verbetering
Connectbox (Arris TG2492LG),Ja,Sitecom,Unknown,200 Mbit/s down - 20 Mbit/s up,15,49.4,20.3,"Wifi via 2,4 GHz frequentieband",802.11n Wireless LAN Card,Ja,Intel Core i7-2600,Surfen (websites bezoeken),Veranderen van netwerkmedium
Cisco EPC3925,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,12,168,23,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Ja,Intel Core i7,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,TPLINK RE450,Unknown,200 Mbit/s down - 20 Mbit/s up,15,41,20,"Wifi via 5,0 GHz frequentieband",Qualcomm Atheros AR9285,Nee,Intel Core i3-m370,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,49,26,3,"Wifi via 2,4 GHz frequentieband",Intel Wireless AC3168,Nee,Intel Core i5-8250u,Surfen (websites bezoeken),Veranderen van netwerkmedium
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,10,356.5,41.6,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,AMD,Downloaden,Overbelasting voor het netwerk
Technicolor TC7210,Ja,Apple Airport Time Capsule,Unknown,250 Mbit/s down - 25 Mbit/s up,13,242.5,25.1,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,Gamen,Geen verbetering
Cisco EPC3928,Ja,Apple Airport Time Capsule,7.7.9,200 Mbit/s down - 20 Mbit/s up,9,112.7,25.7,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Core i7,(video)streamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,8,195,21,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i7-4790,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,196,20.1,Netwerkkabel,Unknown,Nee,Intel Core i7,Downloaden,Geen verbetering
Ubee EVW3226,Ja,Ubee,Unknown,200 Mbit/s down - 20 Mbit/s up,14,80.4,20.5,"Wifi via 2,4 GHz frequentieband",Intel 5300 AGN,Nee,Intel Core i7-2600qm,Surfen (websites bezoeken),Veranderen van netwerkmedium
Mediabox XL (7400),Ja,Technicolor,Unknown,200 Mbit/s down - 20 Mbit/s up,9,85,21,Netwerkkabel,ASIX AX88772B,Nee,Intel Core i7,Surfen (websites bezoeken),Overbelasting voor het netwerk
Technicolor TC7210,Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,6,444,44,Netwerkkabel,Realtek PCIe GBE Family controller,Ja,Intel Core i7-2600k,Gamen,Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,174.6,19.6,"Wifi via 5,0 GHz frequentieband",Intel Wireless AC3160,Nee,Intel Core i5-5200u,Downloaden,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,14,204,20,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,(video)streamen,Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,400 Mbit/s down - 40 Mbit/s up,11,359,40,Netwerkkabel,Intel I219-V,Nee,Intel Core i7-6700,(video)streamen,Overbelasting voor het netwerk
Ubee EVW321B,Ja,Netgear R8000,Unknown,200 Mbit/s down - 20 Mbit/s up,11,96,11,Netwerkkabel,Broadcom NetLink (TM) Gigabit Ethernet,Nee,Intel Core i3,Downloaden,Overbelasting voor het netwerk
Cisco EPC3928,Ja,tp link n750,Unknown,200 Mbit/s down - 20 Mbit/s up,8,200.5,20.7,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,AMD FX6100,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Ja,HP Workstation met 8 poorts netwerkkaart,PfSense,400 Mbit/s down - 40 Mbit/s up,16,338,41,Netwerkkabel,Intel Wireless AC3160,Ja,Intel Core i5-2500k,(video)streamen,Overbelasting voor het netwerk
Ubee EVM3200,Ja,ASUS RT-AC87U,3.0.0.4.382_50010,200 Mbit/s down - 20 Mbit/s up,14,198,21,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,10,199,20,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-4460,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Nee,Unknown,Unknown,50 Mbit/s down - 5 Mbit/s up,16,25,2.5,"Wifi via 2,4 GHz frequentieband",Qualcomm Atheros QCA9377,Nee,Intel Core i5-5200u,Downloaden,Veranderen van netwerkmedium
Mediabox XL (7401),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,15,34,3,"Wifi via 2,4 GHz frequentieband",Realtek PCIe GBE Family Controller,Ja,Intel Celeron J3355,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,20,36.7,17.6,"Wifi via 2,4 GHz frequentieband",Broadcom 4313GN,Nee,AMD Phenom II X4 N930,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,16,140,20,"Wifi via 2,4 GHz frequentieband",Intel Wireless AC3165,Nee,Intel Core i5-6200,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Ubiquity USG,Linux,200 Mbit/s down - 20 Mbit/s up,27,120,40,"Wifi via 5,0 GHz frequentieband",Realtek PCIe GBE Family Controller,Nee,Intel Core i5,Downloaden,Veranderen van netwerkmedium
